No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
1556,Regulated Market,Quotation Board,Neuer Markt,On Track Innovations Ltd.,IL0010834682,OT5,Israel,NI,,,,yes,31/08/1999,"Baden-Württembergische Bank AG, Banque CPR, net.IPO AG, SchmidtBank KGaA, Vereins- und Westbank AG (Lead Manager: M.M. Warburg & Co. KGaA)",Bookbuilding Procedure,8.00 - 9.50,8.5,7.5,"36,266,669.50",,"4,266,667",,,"640,000",,,,
1557,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),SYNAXON AG,DE0006873805,PCS,Germany,NI,,Retail,"Retail, Specialty",yes,25/08/1999,"Bankhaus Neelmeyer AG, Landesbank Rheinland -Pfalz Girozentrale (Lead Manager: Concord Effekten AG)",Bookbuilding Procedure,18.00 - 21.00,19,19.5,"9,500,000.00",,"500,000",,,,,,,
1558,Regulated Market,Delisted,Neuer Markt,DAS WERK AG,DE0005412001,DWE,Germany,NI,,,,yes,25/08/1999,Commerzbank AG (Lead Manager: BHF Bank AG),Bookbuilding Procedure,16.00 - 20.00,20,43,"50,000,000.00",,"2,500,000",,,"300,000","300,000",,,
1559,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),Jetter AG,DE0006264005,JTT,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,19/08/1999,Landesbank Baden-Württemberg (Lead Manager: BancBoston Robertson Stephens International Ltd.),Bookbuilding Procedure,23.00 - 27.00,25,25,"26,360,100.00",,"1,054,404",,,"137,530","137,530",,,
1560,Regulated Market,Delisted,,SCHNIGGE Wertpapierhandelsbank AG,DE0005532881,SHB2,Germany,NI,,Financial Services,Securities Brokers,yes,17/08/1999,#NAME?,Fixed Price Procedure,,41,41.2,"41,820,000.00",,"1,020,000",,,,,,,
1561,Official Market,Delisted,,Hypo Real Estate Bank AG,DE0008019009,,Germany,LI,,Financial Services,Real Estate,yes,16/08/1999, (Lead Manager: Hamburgische Landesbank - Girozentrale),,,,49.25,,,,,,,,,,
1562,Regulated Market,Delisted,Neuer Markt,Gigabell AG,DE0006251705,GGB,Germany,NI,,,,yes,11/8/1999,"DZ Bank AG, net.IPO AG, Frankfurter Sparkasse (Lead Manager: HSBC Trinkaus & Burkhardt KGaA)",Bookbuilding Procedure,38.00 - 42.00,38,33,"47,779,718.00",,"1,257,361",,,"114,306","114,306",,,
1563,Regulated Market,Delisted,,Private Value AG,DE0005084701,BLN,Germany,NI,,Financial Services,Diversified Financial,yes,10/8/1999, (Lead Manager: HWAG Hanseat. Wertpapierhandelshaus),Bookbuilding Procedure,22.80 - 25.80,24.5,25.3,"4,900,000.00",,"200,000",,,,,,,
1564,Regulated Market,Delisted,Neuer Markt,Advanced Inflight Alliance AG,DE0001262186,DVN1,Germany,NI,,Media,Movies & Entertainment,yes,6/8/1999,"Baader Wertpapierhandelsbank AG, Bankhaus Reuschel & Co., Hauck & Aufhäuser Privatbankiers KGaA (Lead Manager: Baader Wertpapierhandelsbank AG)",Bookbuilding Procedure,4.90 - 5.60,5.6,14.5,"34,477,783.20",,"6,156,747",,,"520,000","520,000",,,
1565,Regulated Market,Delisted,Neuer Markt,UBAG Unternehmer Beteiligungen AG,DE0006138605,IHU,Germany,NI,,Industrial,"Industrial, Diversified",yes,30/07/1999,"M.M. Warburg & Co. KGaA, net.IPO AG (Lead Manager: HSBC Trinkaus & Burkhardt KGaA)",Bookbuilding Procedure,17.00 - 20.00,20,37,"29,040,000.00",,"1,452,000",,,"132,000","132,000",,,
1566,Regulated Market,Delisted,Neuer Markt,ADCON Telemetry AG,AT0000793658,TLT,Austria,NI,,,,yes,28/07/1999,"Bank J. Vontobel & Co. AG, Bayerische Landesbank Girozentrale, Bank für Arbeit und Wirtschaft AG, Wien (Lead Manager: Bank J. Vontobel & Co. AG)",Bookbuilding Procedure,7.00 - 8.00,8,8.5,"25,600,000.00",,"3,200,000",,,"300,000","300,000",,,
1567,Regulated Market,Delisted,Neuer Markt,PSB AG für Programmierung und Systemberatung,DE0006967607,PSB,Germany,NI,,Software,IT-Services,yes,27/07/1999,"Gontard & Metallbank AG, SchmidtBank KGaA (Lead Manager: Baden-Württembergische Bank AG)",Fixed Price Procedure,17.00 - 19.50,19.5,24.5,"13,406,250.00",,"687,500",,,"62,500","62,500",,,
1568,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),MANIA Technologie AG,DE0006620701,MNI,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,26/07/1999,"Bayerische Hypo- und Vereinsbank AG, GZ-Bank, Hauck & Aufhäuser Privatbankiers KGaA, Taunus Sparkasse Bad Homburg (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,15.00 - 18.00,18,18,"53,100,000.00",,"2,950,000",,,"450,000",,,,
1569,Regulated Market,Delisted,Neuer Markt,ricardo.de Aktiengesellschaft,DE0007020703,RID,Germany,NI,,Retail,"Retail, Internet",yes,21/07/1999,"Commerzbank AG, Deutsche Bank AG, M.M. Warburg & Co. KGaA (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,24.00 - 28.00,28,38,"57,022,000.00",,"2,036,500",,,"244,200",,,,
1570,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),FORIS AG,DE0005775803,FRS,Germany,NI,,Financial Services,Diversified Financial,yes,19/07/1999,HSBC Trinkaus & Burkhardt KGaA (Lead Manager: HSBC Trinkaus & Burkhardt KGaA),Bookbuilding Procedure,39.00 - 45.00,45,80,"14,805,000.00",,"329,000",,,,,,,
1571,Regulated Market,Delisted,Neuer Markt,EMPRISE Aktiengesellschaft,DE0005710503,ERI,Germany,NI,,Software,IT-Services,yes,16/07/1999,"Bayerische Hypo- und Vereinsbank AG, DZ Bank AG, Dresdner Bank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,10.00 - 11.50,11.5,19.5,"20,240,000.00",,"1,760,000",,,"160,000","160,000",,,
1572,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),First Sensor AG,DE0007201907,SIS,Germany,NI,,Technology,Semiconductors,yes,15/07/1999,Landesbank Rheinland -Pfalz Girozentrale (Lead Manager: Concord Effekten AG),Bookbuilding Procedure,12.50 - 15.50,15.5,17,"10,152,500.00",,"655,000",,,,,,,
1573,Regulated Market,Delisted,Neuer Markt,WWL Internet AG,DE0007830101,WWI,Germany,NI,,,,yes,15/07/1999,Bayerische Hypo- und Vereinsbank AG (Lead Manager: Commerzbank AG),Bookbuilding Procedure,12.50 - 15.50,15.5,30,"38,292,936.00",,"2,470,512",,,"200,000","200,000",,,
1574,Open Market,Delisted,Neuer Markt,Micronas Semiconductor Holding AG,CH0012337421,MNSN,Switzerland,LI,,,,yes,15/07/1999,"Bayerische Hypo- und Vereinsbank AG, Landesbank Baden-Württemberg, Landesbank Sachsen Girozentrale (Lead Manager: Bank J. Vontobel & Co. AG)",Bookbuilding Procedure,105.00 - 125.00,112.7,120,"56,350,000.00",,"500,000",,,,,,,
1575,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),KPS AG,DE000A0STZE9,KSC,Germany,NI,,Software,IT-Services,yes,14/07/1999,"Bayerische Landesbank Girozentrale, DZ Bank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,34.00 - 40.00,40,42,"46,000,000.00",,"1,150,000",,,"150,000","150,000",,,
1576,Regulated Market,Delisted,Neuer Markt,teamwork information management AG,DE0007456204,TWK,Germany,NI,,Software,IT-Services,yes,14/07/1999,"DZ Bank AG, Westdeutsche Landesbank Girozentrale (Lead Manager: Westdeutsche Landesbank Girozentrale)",Bookbuilding Procedure,16.50 - 19.00,19,20,"25,650,000.00",,"1,350,000",,,"150,000",,,,
1577,Regulated Market,General Standard,Neuer Markt,TTL Beteiligungs- und Grundbesitz AG,DE0007501009,TTO,Germany,NI,FIRE,Financial Services,Real Estate,yes,12/7/1999,"Baden-Württembergische Bank AG, K/L/M Equity AG, M.M. Warburg & Co. KGaA (Lead Manager: SchmidtBank KGaA)",Bookbuilding Procedure,20.00 - 23.00,23,32,"26,450,000.00",,"1,150,000",,,"150,000","150,000",,,
1578,Official Market,Quotation Board,,Clariant AG,CH0012142631,CLRN,Switzerland,LI,,,,yes,9/7/1999,Dresdner Bank AG,,,,420,,,,,,,,,,
1579,Regulated Market,Delisted,Neuer Markt,COMPUTERLINKS AG,DE0005448807,CPX,Germany,NI,,Software,IT-Services,yes,7/7/1999,"DZ Bank AG, Robert Fleming Deutschland GmbH (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,18.00 - 22.00,22,28,"33,000,000.00",,"1,500,000",,,"150,000","150,000",,,
1580,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),P&I Personal & Informatik AG,DE0006913403,PUI,Germany,NI,,Software,Software,yes,7/7/1999,"Commerzbank AG, GZ-Bank (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,11.00 - 12.50,12.5,12.5,"37,500,000.00",,"3,000,000",,,"375,000",,,,
1581,Regulated Market,Delisted,SMAX (Amtlicher Markt),Loewe AG,DE0006494107,LOE,Germany,NI,,Consumer,Consumer Electronics,yes,7/7/1999,"Bayerische Hypo- und Vereinsbank AG, Bayerische Landesbank Girozentrale, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Credit Suisse First Boston)",Bookbuilding Procedure,18.00 - 22.00,18,18.5,"127,350,000.00",,"7,075,000",,,,,,,
1582,Regulated Market,Delisted,Neuer Markt,Met@box AG,DE0006921208,MBX,Germany,NI,,Consumer,Consumer Electronics,yes,7/7/1999,M.M. Warburg & Co. KGaA (Lead Manager: Norddeutsche Landesbank Girozentrale),Bookbuilding Procedure,40.00 - 45.00,45,48.5,"130,374,000.00",,"2,897,200",,,"400,000",,,,
1583,Open Market,Delisted,Neuer Markt,mediantis AG,DE0005285209,BDE,Germany,NI,,,,yes,5/7/1999,"ABN Amro Bank (Deutschland) AG, net.IPO AG, Commerzbank AG (Lead Manager: Westdeutsche Landesbank Girozentrale)",Bookbuilding Procedure,16.00 - 19.00,19,55,"38,000,000.00",,"2,000,000",,,"200,000","200,000",,,
1584,Regulated Market,General Standard,SMAX (Amtlicher Markt),SLEEPZ AG,DE0003304200,BTBA,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,2/7/1999,"Bayerische Hypo- und Vereinsbank AG, Commerzbank AG, Dresdner Kleinwort Wasserstein",Bookbuilding Procedure,16.00 - 19.00,18,18,"53,100,000.00",,"2,950,000",,,"350,000","350,000",,,
1585,Regulated Market,Delisted,Neuer Markt,AZEGO Aktiengesellschaft,DE0005007702,ACG,Germany,NI,,Technology,Semiconductors,yes,1/7/1999,"Credit Suisse First Boston, HSBC Trinkaus & Burkhardt KGaA (Lead Manager: Credit Suisse First Boston)",Bookbuilding Procedure,39.00 - 46.00,46,70,"36,918,772.00",,"802,582",,,"113,062","100,000",,,
1586,Regulated Market,Delisted,Neuer Markt,MOSAIC SOFTWARE AG,DE0007100208,MSW,Germany,NI,,Software,IT-Services,yes,1/7/1999,"Commerzbank AG, Westdeutsche Genossenschafts-Zentrale eG (Lead Manager: Westdeutsche Landesbank Girozentrale)",Bookbuilding Procedure,20.00 - 23.00,23,30,"30,820,000.00",,"1,340,000",,,"200,000","200,000",,,
1587,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),GFT Technologies SE,DE0005800601,GFT,Germany,NI,Information Technology,Software,IT-Services,yes,28/06/1999,"Dresdner Kleinwort Wasserstein, Landesbank Baden-Württemberg (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,20.00 - 23.00,23,44,"34,385,000.00",,"1,495,000",,,"195,000","195,000",,,
1588,Official Market,Quotation Board,Amtlicher Markt,SES Global S.A.,LU0088087324,SES,Grand Duchy of Luxembourg,LI,,,,yes,25/06/1999, (Lead Manager: Dresdner Bank AG),,,,141,,,,,,,,,,
1589,Regulated Market,Delisted,Neuer Markt,COR AG Financial Technologies,DE0005083208,COC,Germany,LI,,Software,IT-Services,yes,22/06/1999,Berliner Effektenbank AG,Bookbuilding Procedure,30.00 - 37.00,30,31,"7,455,000.00",,"248,500",,,"98,680",,,,
1590,Regulated Market,Delisted,Neuer Markt,Management Data Media Systems AG,DE0006621303,MAF,Germany,NI,,Software,IT-Services,yes,22/06/1999,"Hamburger Sparkasse, Vereins- und Westbank AG, Norddeutsche Landesbank Girozentrale (Lead Manager: M.M. Warburg & Co. KGaA)",Bookbuilding Procedure,16.00 - 19.00,16,16.5,"19,526,080.00",,"1,220,380",,,,,,,
1591,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),PVA TePla AG,DE0007461006,TPE,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,21/06/1999,"Commerzbank AG, DZ Bank AG, net.IPO AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,8.75 - 10.25,10.25,10.7,"22,550,000.00",,"2,200,000",,,"200,000","200,000",,,
1592,Open Market,Quotation Board,Neuer Markt,Pankl Racing Systems AG,AT0000800800,PKL,Austria,LI,,,,yes,18/06/1999,"ICE Securities Ltd., net.IPO AG (Lead Manager: Raiffeisen Zentralbank Österreich AG)",Bookbuilding Procedure,,40,41,"29,192,000.00",,"729,800",,,"81,800","81,800",,,
1593,Regulated Market,Delisted,Neuer Markt,Abwicklungsgesellschaft Innovativ-digitale Medien AG,DE0006228604,IDL,Germany,NI,,Software,IT-Services,yes,17/06/1999,"DZ Bank AG, net.IPO AG, Landesbank Baden-Württemberg, BHF Bank AG (Lead Manager: Bank J. Vontobel & Co. AG)",Bookbuilding Procedure,21.00 - 23.00,23,23,"91,087,935.00",,"3,960,345",,,"600,000","600,000",,,
1594,Regulated Market,Delisted,Neuer Markt,EUROMED AG,DE0005706808,EUD,Germany,NI,,Software,IT-Services,yes,16/06/1999,"Bayerische Landesbank Girozentrale, Erste Bank der Österreichischen Sparkassen AG (Lead Manager: Commerzbank AG)",Bookbuilding Procedure,10.50 - 13.50,9,8.5,"15,525,000.00",,"1,725,000",,,"150,000",,,,
1595,Regulated Market,Delisted,Neuer Markt,ISRA VISION Parsytec AG,DE0005089908,PAQ,Germany,NI,,,,yes,16/06/1999,"Bayerische Hypo- und Vereinsbank AG, Dresdner Kleinwort Wasserstein (Lead Manager: Credit Suisse First Boston)",Bookbuilding Procedure,26.00 - 32.00,30,30,"51,750,000.00",,"1,725,000",,,"260,000","260,000",,,
1596,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),Hansa Group AG,DE0007608606,H4G,Germany,NI,,Chemicals,"Chemicals, Commodity",yes,16/06/1999,Bankgesellschaft Berlin AG (Lead Manager: DZ Bank AG),Bookbuilding Procedure,20.50 - 24.50,21,21.4,"23,570,400.00",,"1,122,400",,,"112,240","112,240",,,
1597,Regulated Market,Delisted,Neuer Markt,Kabel New Media AG,DE0006229503,KNW,Germany,NI,,Software,IT-Services,yes,15/06/1999,BNP Paribas Group,Bookbuilding Procedure,5.65 - 6.15,6.15,17,"25,727,504.10",,"4,183,334",,,"380,303","380,303",,,
1598,Official Market,Delisted,,Stinnes AG,DE0007264301,,Germany,NI,,,,yes,14/06/1999,"Bayerische LB, Commerzbank AG, Deutsche Bank AG, DG Bank, HSBC Trink. & Burkh., HypoVereinsbank, Sal. Oppenheim, WestLB Panmure    (Lead Manager: Dresdner Kleinwort Wasserstein, UBS Warburg)",Bookbuilding Procedure,15.50 - 18.50,14.5,15,"380,190,000.00",,"26,220,000",,,"3,420,000","3,420,000",,,
1599,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),vwd Vereinigte Wirtschaftsdienste AG,DE0005204705,VWD,Germany,NI,,Software,Software,yes,14/06/1999,"Sal. Oppenheim jr. & Cie. KGaA, vem AG Virtuelles Emissionshaus (Lead Manager: Merck)",Bookbuilding Procedure,22.00 - 24.50,24.5,30,"17,150,000.00",,"700,000",,,,,,,
1600,Open Market,Delisted,Neuer Markt (Geregelter Markt),BEKO HOLDING AG,AT0000908603,BEO,Austria,NI,,Technology,,yes,14/06/1999,"CA IB Investmentbank AG, BHF Bank AG  (Lead Manager: Raiffeisen Zentralbank Österreich AG)",Bookbuilding Procedure,59.00 - 67.00,62,56,"111,600,000.00",,"1,800,000",,,"200,000",,,,
1601,Regulated Market,Delisted,Neuer Markt,BRAIN FORCE HOLDING AG,AT0000820659,BFC,Austria,NI,,,,yes,10/6/1999,Commerzbank AG (Lead Manager: DZ Bank AG),Bookbuilding Procedure,23.00 - 28.00,26,25,"23,660,000.00",,"910,000",,,"90,000",,,,
1602,Regulated Market,Delisted,Neuer Markt,MAXDATA AG,DE0006581309,MXA,Germany,NI,,Industrial,Industrial Products & Services,yes,9/6/1999,"Commerzbank AG, DZ Bank AG, Dresdner Kleinwort Wasserstein, HSBC Trinkaus & Burkhardt KGaA, Sal. Oppenheim jr. & Cie. KGaA, Westdeutsche Landesbank Girozentrale (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,30.00 - 35.00,31,31,"283,650,000.00",,"9,150,000",,,"1,250,000",,,,
1603,Regulated Market,General Standard,Neuer Markt,Your Family Entertainment AG,DE0007060204,RTV,Germany,NI,Telecommunication,Media,Movies & Entertainment,yes,8/6/1999,"Commerzbank AG, Baden-Württembergische Bank AG (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,7.00 - 8.30,8.3,24.5,"23,862,500.00",,"2,875,000",,,"375,000","375,000",,,
1604,Regulated Market,Delisted,Neuer Markt,Prodacta AG,DE0007867301,POA,Germany,NI,,Software,IT-Services,yes,7/6/1999,"Concord Effekten AG, 039, vem AG Virtuelles Emissionshaus (Lead Manager: Gontard & Metallbank AG)",Bookbuilding Procedure,14.00 - 16.00,15,15.5,"21,843,180.00",,"1,456,212",,,,,,,
1605,Official Market,Delisted,,Charles Vögele Holding AG,CH0006937772,VCH,Switzerland,NI,,,,yes,7/6/1999,"Deutsche Bank AG, DG Bank, Morgan Stanley, UBS Warburg   (Lead Manager: Goldman, Sachs & Co. oHG)",Bookbuilding Procedure,157.56 - 201.55,141.71,141.75,"576,759,700.00",,"4,070,000",,,"600,000","70,000",,,
1606,Regulated Market,Delisted,Neuer Markt,Kleindienst Datentechnik AG,DE0006290208,KLD,Germany,NI,,,,yes,2/6/1999,"Bayerische Hypo- und Vereinsbank AG, Commerzbank AG  (Lead Manager: DZ Bank AG, GZ-Bank)",Bookbuilding Procedure,23.00 - 27.00,24,24,"42,000,000.00",,"1,750,000",,,"250,000",,,,
1607,Regulated Market,Delisted,Neuer Markt,SZ Testsysteme AG,DE0005067300,SZT,Germany,NI,,,,yes,2/6/1999,"HSBC Trinkaus & Burkhardt KGaA, Norddeutsche Landesbank Girozentrale",Bookbuilding Procedure,12.00 - 15.00,12,12,"26,705,916.00",,"2,225,493",,,"333,824",,,,
1608,Regulated Market,Delisted,Neuer Markt,Lobster Network Storage AG,DE0005082903,LOB,Germany,LI,,,,yes,2/6/1999,Bankgesellschaft Berlin; Berliner Effektenbank; Bankhaus Lampe      (Lead Manager: Berliner Effektenbank AG),Bookbuilding Procedure,35.00 - 40.00,35,30,,,"286,491",,,,,,,
1609,Regulated Market,Prime Standard,Neuer Markt (als Softmatic AG),AlzChem Group AG,DE0007271702,SFP,Germany,NI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,1/6/1999,"Commerzbank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Commerzbank AG)",Bookbuilding Procedure,20.00 - 23.00,20,19.5,"51,450,000.00",,"2,572,500",,,"262,500","210,000",,,
1610,Official Market,Quotation Board,,AGFA-GEVAERT N.V.,BE0003755692,,Belgium,NI,,,,yes,1/6/1999,"Commerzbank AG, Dresnder Bank AG, WestLB, Bank Brüssel Lambert, Bay. HypoVereinsbank AG, BNP Paribas, Credit Suisse First Boston, Generale Bank, ING Groep, KBC Bank, Schroder Salomon (Lead Manager: Goldman, Sachs & Co. oHG, Deutsche Bank AG)",Bookbuilding Procedure,21.00 - 26.00,22,22,"1,540,000,000.00",,"70,000,000",,,"7,000,000",,,,
1611,Regulated Market,Delisted,Neuer Markt,Netlife AG,DE0006763907,NTF,Germany,NI,,Software,Software,yes,1/6/1999,"Hamburgische Landesbank, DZ Bank AG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,22.00 - 25.50,25.5,26,"44,625,000.00",,"1,750,000",,,"250,000",,,,
1612,Official Market,Delisted,,Global TeleSystems Inc.,US37936U1043,BSD,United States,LI,,,,yes,31/05/1999,Merrill Lynch Capital Markets Bank Ltd.,,,,73.3,,,,,,,,,,
1613,Regulated Market,Delisted,SMAX,VCL Film + Medien AG,DE0005098503,VFM,Germany,NI,,Media,Movies & Entertainment,yes,27/05/1999,"Baader Wertpapierhandelsbank AG, HSBC Trinkaus & Burkhardt KGaA (Lead Manager: Baader Wertpapierhandelsbank AG)",Bookbuilding Procedure,13.00 - 15.00,15,17,"18,000,000.00",,"1,200,000",,,,,,,
1614,Regulated Market,General Standard,SMAX (Amtlicher Markt),Beate Uhse AG,DE0007551400,USE,Germany,NI,,Retail,"Retail, Catalog",yes,27/05/1999,"Dresdner Kleinwort Wasserstein, Gontard & Metallbank, Hamburgische LB, Vereins- und Westbank AG (Lead Manager: Commerzbank AG)",Bookbuilding Procedure,6.00 - 7.20,7.2,13.2,"63,288,000.00",,"8,790,000",,,"390,000","390,000",,,
1615,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),ECKERT & ZIEGLER Strahlen- und Medizintechnik AG,DE0005659700,EUZ,Germany,NI,Pharma & Healthcare,Pharma & Healthcare,Medical Technology,yes,25/05/1999,"Deutsche Apotheker- und Ärztebank eG, Gontard & Metallbank AG (Lead Manager: Concord Effekten AG)",Bookbuilding Procedure,20.00 - 23.00,23,24,"15,295,000.00",,"665,000",,,,,,,
1616,Regulated Market,Delisted,SMAX,Köhler & Krenzer Fashion AG i.I.,DE0006303407,KKF,Germany,NI,,Consumer,Clothing & Footwear,yes,21/05/1999,"Baden-Württembergische Bank AG, HWAG Hanseatisches Wertpapierhandelshaus (Lead Manager: Vereins- und Westbank AG)",Bookbuilding Procedure,19.80 - 22.80,19.8,19,"19,404,000.00",,"980,000",,,,,,,
1617,Open Market,Quotation Board,Neuer Markt,SHS VIVEON AG,DE0005072409,SHW,Germany,NI,,Software,IT-Services,yes,19/05/1999,ABN Amro Bank (Deutschland) AG (Lead Manager: Westdeutsche Landesbank Girozentrale),Bookbuilding Procedure,17.50 - 20.00,18.5,21,"17,020,000.00",,"920,000",,,"100,000","20,000",,,
1618,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),SÜSS MicroTec SE,DE0007226706,SMH,Germany,NI,,Technology,Semiconductors,yes,18/05/1999,"Bank J. Vontobel & Co. AG, Dresdner Kleinwort Wasserstein (Lead Manager: BHF Bank AG)",Bookbuilding Procedure,13.00 - 15.00,13,12.8,"54,397,135.00",,"4,184,395",,,"500,000",,,,
1619,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),artnet AG,DE0006909500,AYD,Germany,NI,Consumer Services,Retail,"Retail, Internet",yes,17/05/1999,Robert Fleming Deutschland GmbH (Lead Manager: Kling),Bookbuilding Procedure,40.00 - 46.00,46,48,"46,322,000.00",,"1,007,000",,,"110,000","110,000",,,
1620,Regulated Market,Delisted,Neuer Markt,HamaTech AG,DE0007309007,DVD,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,12/5/1999,"DZ Bank AG, Sal. Oppenheim jr. & Cie. KGaA, Westdeutsche Landesbank Girozentrale (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,8.25 - 9.25,9.25,9.35,"105,450,000.00",,"11,400,000",,,"1,000,000","1,000,000",,,
1621,Open Market,Delisted,Neuer Markt (Geregelter Markt),Sanochemia Pharmazeutika AG,AT0000776307,SAC,Austria,NI,,Pharma & Healthcare,Pharmaceuticals,yes,12/5/1999,"Close BrothersMarkets, Raiffeisen Zentralbank Österreich AG, Westdeutsche Landesbank Girozentrale (Lead Manager: Westdeutsche Landesbank Girozentrale)",Bookbuilding Procedure,19.00 - 22.00,21.5,19.9,"53,750,000.00",,"2,500,000",,,"375,000",,,,
1622,Regulated Market,Delisted,Neuer Markt,IDS Scheer AG,DE0006257009,IDS,Germany,NI,,Software,IT-Services,yes,11/5/1999,"DZ Bank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,10.50 - 12.50,12.5,12.5,"111,125,000.00",,"8,890,000",,,"952,500","952,500",,,
1623,Regulated Market,Delisted,Neuer Markt,infor business solutions AG,DE0006225402,IFR,Germany,NI,,Software,IT-Services,yes,11/5/1999,"Baden-Württembergische Bank AG, Dresdner Kleinwort Wasserstein (Lead Manager: Bayerische Hypo- und Vereinsbank AG)",Bookbuilding Procedure,27.00 - 31.00,31,30,"116,456,615.00",,"3,756,665",,,"407,435",,,,
1624,Regulated Market,Prime Standard,Neuer Markt / Geregelter Markt,Highlight Communications AG,CH0006539198,HLG,Switzerland,NI,Consumer Services,Media,Movies & Entertainment,yes,11/5/1999,"BHF Bank AG, Commerzbank AG (Lead Manager: BHF Bank AG)",Bookbuilding Procedure,22.50 - 25.00,25.5,28,"40,800,000.00",,"1,600,000",,,"160,000","160,000",,,
1625,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),aap Implantate AG,DE0005066609,AAQ,Germany,NI,,Pharma & Healthcare,Medical Technology,yes,10/5/1999,"DZ Bank AG, Bankgesellschaft Berlin, Deutsche Apotheker- und Ärztebank eG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,8.50 - 10.00,10,11.2,"13,642,140.00",,"1,364,214",,,"140,000",,,,
1626,Regulated Market,Delisted,Neuer Markt,SVC AG Schmidt · Vogel Consulting,DE0007300303,SVA,Germany,NI,,,,yes,10/5/1999,"Deutsche Bank AG, Dresdner Kleinwort Wasserstein",Bookbuilding Procedure,15.00 - 18.00,18,18,"41,412,762.00",,"2,300,709",,,"255,646",,,,
1627,Regulated Market,Delisted,Neuer Markt,TRIA IT-solutions AG,DE0007443608,TSX,Germany,NI,,Software,IT-Services,yes,10/5/1999,"Bayerische Hypo- und Vereinsbank AG, Sal. Oppenheim jr. & Cie. KGaA (Lead Manager: Robert Fleming Deutschland GmbH)",Bookbuilding Procedure,17.00 - 20.00,20,26,"30,800,000.00",,"1,540,000",,,"180,000","180,000",,,
1628,Regulated Market,Delisted,Neuer Markt,MWG-BIOTECH AG,DE0007300105,NWU,Germany,NI,,Pharma & Healthcare,Medical Technology,yes,7/5/1999,Bayerische Landesbank Girozentrale (Lead Manager: Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,23.00 - 27.00,27,27,"41,850,000.00",,"1,550,000",,,"150,000",,,,
1629,Official Market,Delisted,SMAX,Gontard & MetallBank AG,DE0005890503,GMB,Germany,NI,,Financial Services,Diversified Financial,yes,7/5/1999,"Concord Effekten AG, Delbrück & Co. Privatbankiers, Fürst Fugger Privatbank, GZ-Bank, Hauck & Aufhäuser Privatbankiers KGaA, Norddeutsche Landesbank Girozentrale (Lead Manager: Gontard & Metallbank AG)",Bookbuilding Procedure,14.00 - 17.50,17.5,25.5,"87,018,522.50",,"4,972,487",,,,,,,
